lkupClientId,dimCustomerMasterId,customerNumber,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,isBuyer,source_tenure,tenure,distToVenue,totalGames,recency,missed_games_1,missed_games_2,missed_games_over_2,click_link,fill_out_form,open_email,send_email,unsubscribe_email,openToSendRatio,clickToSendRatio,clickToOpenRatio,posting_records,resale_records,resale_atp,forward_records,cancel_records,email,inbound_email,inbound_phonecall,inperson_contact,internal_note,left_message,outbound_email,outbound_phonecall,phonecall,text,unknown,gender,childrenPresentInHH,maritalStatus,lengthOfResidenceInYrs,annualHHIncome,education,urbanicity,credits_after_refund,is_Lockdown,NumberofGamesPerSeason,CNTPostponedGames,isNextYear_Buyer,Label,Score_0,Score_1
5,89012,145709,2021,Full Season,20640.0,2022-01-26,0.7321428571428571,270,TRUE,15695,1888,0,27,0,3,2,1,84,0,212,410,0,0.517073170731,0.20487804878,0.396226415094,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0527,0.9473
5,89030,108716,2021,Full Season,16752.799999999974,2022-01-03,0.48214285714285715,270,TRUE,9855,1889,0,14,5,2,1,2,24,0,28,324,0,0.086419753086,0.074074074074,0.857142857142,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,1,1,0.1297,0.8703
5,89055,204917008,2021,Half Season,1400.0,1970-01-01,0.0,49,TRUE,1825,783,0,0,0,0,1,0,8,0,12,112,0,0.107142857142,0.071428571428,0.666666666666,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9763,0.0237
5,89504,133873,2021,Full Season,18094.399999999994,2022-01-26,1.0357142857142858,270,TRUE,12045,1890,0,29,0,0,0,0,68,0,362,418,0,0.866028708133,0.162679425837,0.187845303867,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,1,1,0.049,0.951
5,90195,200659193,2021,Half Season,7980.0,2022-01-25,0.8035714285714286,264,TRUE,2555,1889,0,12,0,4,0,0,96,0,10,206,0,0.04854368932,0.466019417475,9.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.2253,0.7747
5,92965,564336,2021,Half Season,3712.8000000000025,2022-01-10,0.7857142857142857,269,TRUE,5840,1890,0,11,0,3,0,0,200,0,328,458,0,0.71615720524,0.436681222707,0.60975609756,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,1,1,0.2105,0.7895
5,93224,106912,2021,Full Season,46440.0,2022-01-26,1.0089285714285714,269,TRUE,10220,1895,0,29,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.2321,0.7679
5,93261,190522626,2021,Full Season,337979.9999999456,2022-01-26,0.69375,53,TRUE,365,241,0,29,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.1405,0.8595
5,93423,202592093,2021,Mini Plan,2490.0,2022-01-07,0.8461538461538461,26,TRUE,2190,1659,0,4,0,2,0,0,32,0,118,164,0,0.719512195121,0.195121951219,0.271186440677,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.5888,0.4112
5,94639,203521610,2021,Full Season,5203.0,2022-01-26,0.9464285714285714,270,TRUE,2190,1162,0,28,0,4,0,0,174,0,322,538,0,0.598513011152,0.323420074349,0.540372670807,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0324,0.9676
