dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
4764,2022,Full Season,3151.8,2022-04-24,0.25,162,1095,1094,37.83,3,0,0,2,0,1,0.332,0.668
4866,2022,Full Season,6128.5,2022-05-14,0.38,162,1095,1108,20.98,2,3,1,0,0,0,0.8357,0.1643
4873,2022,Full Season,7004.0,2022-06-25,0.81,162,1095,1111,9.54,0,2,0,0,0,1,0.3032,0.6968
4888,2022,Full Season,1926.1,2022-06-25,1.0,101,1095,1073,82.18,0,1,0,0,0,0,0.5568,0.4432
4919,2022,Full Season,15759.0,2022-06-25,0.31,159,1095,1091,47.39,2,1,2,0,0,1,0.3436,0.6564
4941,2022,Full Season,437.75,2022-06-25,0.75,159,1095,1000,273.73,0,0,0,1,0,0,0.549,0.451
4954,2022,Full Season,2315.8,2022-06-25,0.0,22,0,128,52.21,0,0,0,0,0,0,0.8365,0.1635
4998,2022,Full Season,119.42,1970-01-01,0.0,162,1095,761,29.59,0,1,0,0,0,0,0.6913,0.3087
4999,2022,Full Season,437.75,2022-06-25,0.63,159,1095,1054,26.22,0,2,1,0,0,0,0.5918,0.4082
5048,2022,Full Season,437.75,2022-06-25,0.88,159,730,963,53.53,0,0,1,0,0,0,0.6119,0.3881
5051,2022,Full Season,5304.0,2022-06-25,1.0,85,365,430,27.17,0,1,0,0,0,0,0.6997,0.3003
5084,2022,Full Season,437.75,2022-05-14,0.5,159,1095,1054,58.29,2,2,1,0,0,0,0.8327,0.1673
5200,2022,Full Season,118.04,2022-02-26,1.0,9,365,248,17.84,0,0,0,0,0,0,0.6275,0.3725
5359,2022,Full Season,3064.25,2022-05-28,0.63,162,730,808,300.61,0,3,0,0,0,0,0.8672,0.1328
5410,2022,Full Season,596.48,1970-01-01,0.0,22,365,390,19.18,0,0,0,0,0,0,0.7443,0.2557
5501,2022,Full Season,2626.5,2022-05-22,0.5,159,1095,1103,1852.66,1,2,1,0,0,0,0.8652,0.1348
5506,2022,Full Season,2626.5,1970-01-01,0.0,159,1095,979,47.79,0,0,0,1,0,1,0.4895,0.5105
5530,2022,Full Season,437.75,2022-05-22,0.5,159,730,600,0.0,1,1,0,1,0,0,0.8428,0.1572
5557,2022,Full Season,2363.85,2022-05-28,0.33,162,1095,1090,26.81,0,2,0,1,0,0,0.792,0.208
5572,2022,Full Season,476.0,2022-03-12,0.25,81,730,306,33.23,6,0,0,1,0,0,0.7533,0.2467
5580,2022,Full Season,1575.9,2022-06-25,0.44,2,1095,1095,58.29,0,2,0,1,0,0,0.6992,0.3008
